scientific_name,common_name,description,image_url
Alocasia zebrina,Tiger Elephant Ear,"Alocasia zebrina is a striking tropical houseplant with glossy, arrow-shaped leaves and zebra-striped stalks. It prefers bright, indirect light, warm temperatures and high humidity. Keep soil evenly moist but not waterlogged for healthy growth.",
Alpinia vittata,Variegated Ginger,"Alpinia vittata is a tropical ginger-family perennial with clumps of glossy, arching leaves and upright flower spikes. It grows from rhizomes, prefers warm, humid conditions, and produces showy, short-lived blooms. Often used for ornamental borders and garden plantings.",
Amorphophallus bulbifer,Voodoo Lily,"Amorphophallus bulbifer is a tuberous perennial from Asia that grows a single large divided leaf or a short-lived spathe-and-spadix flower with a strong smell to attract pollinators. It produces small bulbils on the plant, making it easy to propagate.",
Amorphophallus konjac,Voodoo Lily,"Amorphophallus konjac, or konjac/elephant yam, is a tuberous perennial from Asia. It produces a single large umbrella-like leaf or a strange tall flower that smells like rotting flesh. Grown for its edible tuber, used to make konjac flour (glucomannan).",
Amorphophallus titanum ,Titan Arum,"Amorphophallus titanum, the titan arum or corpse flower, is a tropical plant from Sumatra that produces the world's largest single flower. It can grow several meters tall, has a huge underground bulb, and briefly smells like rotting flesh to attract pollinators.",
Anthurium 'Big Red Bird' x A. 'Round Wan',Anthurium,"Anthurium 'Big Red Bird' x 'Round Wan' is a compact hybrid with glossy, heart-shaped leaves and large, deep-red spathes held above slender stems. Easy to grow indoors, it likes bright, indirect light, warm temperatures, and consistently moist, well-draining soil.",
Anthurium andraeanum 'White Heart',Anthurium,"Anthurium andraeanum 'White Heart' is a compact tropical houseplant with glossy, heart-shaped leaves and striking white, heart-shaped spathes surrounding a pale central spike. Easy-care, it prefers bright indirect light, warm humid conditions, and well-draining soil for best blooms.",
Anthurium atropurpureum,Anthurium ,"Anthurium atropurpureum is a compact tropical aroid with glossy, heart-shaped leaves and striking deep purple-red spathes surrounding a contrasting spadix. It’s an attractive, low-growing houseplant that prefers bright indirect light, warmth, and high humidity.",
Anthurium atropurpureum var. arenicola,Anthurium,"Anthurium atropurpureum var. arenicola is a small tropical aroid with glossy, heart-shaped leaves that often show deep green to purplish tones. It makes modest spadix flowers and prefers warm, humid, well-draining, slightly sandy or airy growing conditions.",
Anthurium clarinervium,Anthurium,"Anthurium clarinervium is a striking houseplant with large, heart-shaped, velvet-like dark green leaves and bold white or cream veins. Native to Mexican cloud forests, it prefers bright indirect light, high humidity, and a loose, well-draining potting mix.",
Anthurium ensifolium,Anthurium,"Anthurium ensifolium is a tropical aroid with long, narrow, sword-like glossy green leaves. Often growing on trees, it produces small, simple flowers and prefers warm, humid, shaded conditions, making a graceful, low-maintenance houseplant.",
Anthurium forgetii,Anthurium,"Anthurium forgetii is a small, compact tropical aroid prized for its round, glossy leaves with subtle veins and no central midrib. It grows as an epiphyte and prefers bright indirect light, warm temperatures, and humidity, making it a popular houseplant.",
Anthurium gracile,Red Pearls Anthurium,"Anthurium gracile is a slender, vining aroid with delicate glossy heart-shaped leaves. Native to tropical forests, it grows as an epiphyte on trees and produces thin stems and small flower spikes. It prefers bright, indirect light, warmth, and high humidity.",
Anthurium grandifolium,Anthurium,"Anthurium grandifolium is a tropical aroid with large, glossy heart-shaped leaves. It grows in shady, humid rainforest understories as an epiphyte or on the forest floor and sometimes produces a spadix with a spathe. Prefers warmth, bright shade, and high humidity.",
Anthurium hybrid,Red Anthurium,"Anthurium hybrids are tropical houseplants with glossy, heart-shaped leaves and bright, long-lasting spathes (the colorful ""flowers""). They like bright, indirect light, warm temperatures, higher humidity and steady, moderate watering—making them attractive, relatively easy indoor bloomers.",
Anthurium magnificum,Anthurium,"Anthurium magnificum is a striking tropical houseplant prized for its huge, heart-shaped, velvety dark green leaves with bold pale veins. It thrives in bright, indirect light, high humidity, and a well-draining, airy potting mix; grown for its dramatic foliage.",
Anthurium pedatoradiatum sub. helleborifolium,Anthurium,"Anthurium pedatoradiatum subsp. helleborifolium is a small tropical aroid with glossy, deeply lobed, finger-like leaves arranged in a low rosette. It prefers bright, indirect light, high humidity, and a loose, well-draining growing medium.",
Anthurium pentaphyllum,Anthurium,"Anthurium pentaphyllum is a compact tropical aroid known for glossy, often multi-lobed leaves (its name means ""five-leaved""). It produces small spathes and spadices and prefers warm, humid, shaded conditions, making it a charming understory or houseplant.",
Anthurium podophyllum,Anthurium,"A tropical aroid with large, deeply lobed, palm-shaped leaves on short petioles. It makes an attractive groundcover or potted specimen and sends up small flower spikes. Prefers bright, indirect light, high humidity, and rich, well‑draining organic soil.",
Anthurium veitchii,King Anthurium,"Anthurium veitchii, the king Anthurium, is a tropical epiphyte from Colombia with long, glossy, deeply rippled green leaves that hang in dramatic cascades. It likes bright, indirect light, warm temperatures, high humidity, an airy well-draining mix, and moderate watering.",
Anthurium vittarifolium,Strap-Leafed Anthurium,"Anthurium vittarifolium is a tropical, epiphytic aroid with long, glossy, strap-like leaves that often hang or climb. Native to Central and South American rainforests, it offers a bold, tropical look and thrives in warm, humid, shaded conditions.",
Anthurium willdenowii,Anthurium,"Anthurium willdenowii is a tropical aroid with large, leathery, elongated leaves often borne on climbing stems. Native to moist rainforests, it grows on trees or soil, produces typical spadix flowers, and prefers warm, humid, shaded conditions.",
Arachniodes simplicior 'Variegata',Variegated Leather Leaf Fern,"Arachniodes simplicior 'Variegata' is a hardy, compact evergreen fern with arching, glossy green fronds streaked or edged in creamy white. It prefers shady, moist conditions and makes an attractive, low-maintenance groundcover or container plant for cool, shaded gardens.",
Artocarpus altilis 'Ma afala',Breadfruit Tree,"Artocarpus altilis 'Ma'afala' is a tropical evergreen breadfruit cultivar that produces large, sweet, starchy fruits. Trees are vigorous and shade-giving, prized for roasting, baking or boiling. Thrives in warm, humid climates with fertile, well-drained soil.",
Asparagus sp.  ,Ming Fern,"Asparagus (Asparagus sp.) is a hardy perennial with feathery, fern-like foliage and upright spears. Some species produce edible shoots, others are grown as ornamentals. It prefers well-drained soil, sun to partial shade, and makes small flowers followed by red or orange berries.",
Aspidistra elatior 'Asahi',Morning Sun Cast Iron Plant,"Aspidistra elatior 'Asahi' is a tough, low‑maintenance cast‑iron plant with upright, variegated leaves—cream to yellow centers with green edges. Slow‑growing and shade‑tolerant, it thrives indoors or in shady gardens, handling low light, irregular watering, and cooler spots.",
Aspidistra elatior 'Milky Way',Cast Iron Plant,"Aspidistra elatior 'Milky Way' is a tough, slow-growing perennial with glossy, arching dark green leaves splashed with small creamy-white spots like stars. It tolerates low light and neglect, making it an ideal, low-maintenance houseplant or shady garden groundcover.",
Aspidistra elatior 'Variegata',Variegated Cast Iron Plant,"Aspidistra elatior 'Variegata' is a tough, low-care evergreen with glossy dark green leaves edged and striped in cream or yellow. It thrives in low light, tolerates neglect, suits indoor pots or shaded gardens, and occasionally produces tiny, hidden purple flowers.",
Begonia cleopatrae,Maple Leaf Begonia ,"Begonia cleopatrae is a compact ornamental begonia with attractive, asymmetrical leaves and clusters of small, delicate flowers. It prefers bright, indirect light, high humidity and moist, well-draining soil, making it great for shaded gardens or indoor pots.",
Begonia x ricinifolia,Castor Bean Begonia,"Begonia × ricinifolia is an ornamental hybrid with large, lobed, castor-like leaves and small clusters of pink or white flowers. It prefers bright, indirect light, high humidity, and evenly moist, well-draining soil — great for shaded gardens or containers.",
Bignonia argyreoviolascens,Silvery Trumpet Vine,"Bignonia argyreoviolascens is a woody tropical vine with glossy pinnate leaves and showy trumpet-shaped violet-silver flowers. It twines to climb, attracts hummingbirds and bees, and is used ornamentally on trellises or fences. Prefers warm, sunny, well-drained conditions.",
Billbergia 'Casablanca',Bromeliad,"Billbergia 'Casablanca' is an eye-catching bromeliad with a compact rosette of arching, straplike leaves often showing silvery banding. It produces a tall, showy flower spike with tubular blooms and thrives as a striking container or indoor accent plant.",
Billbergia chlorostica,Rainbow Plant,"Billbergia chlorostica is a small, easy-care bromeliad with a rosette of narrow, often green leaves and a striking tubular flower spike with colorful bracts and small blooms. Native to tropical forests, it prefers bright, humid conditions and can grow on trees or soil.",
Billbergia nutans,Queen's Tears,"Billbergia nutans, called queen's tears, is a small bromeliad with arching rosettes of green leaves and dangling pink-and-blue tubular flowers. Often grown as an epiphyte, it prefers bright, indirect light, humidity, and well-draining soil.",
Billbergia pyramidalis 'Kyoto',Kyoto Flaming Torch,"Billbergia pyramidalis 'Kyoto' is a compact bromeliad with stiff, arching green leaves forming a central cup. It produces striking pink-to-red conical flower bracts and tubular purple flowers. Easy-care, ideal for bright indoors or shaded gardens.",
Bosenbergia rotunda,"Fingerroot, Chinese Keys","Bosenbergia rotunda (fingerroot) is a small ginger-family herb with aromatic, finger-like rhizomes used in Southeast Asian cooking and traditional medicine. It forms low clumps of green leaves and pale tubular flowers and prefers warm, shady, well-drained conditions.",
Caladium 'Poison Dart Frog',Caladium,"Caladium 'Poison Dart Frog' is a compact tropical houseplant with bold, frog‑like patterned heart-shaped leaves. It grows from tubers and prefers bright, indirect light, warm temperatures and humid, evenly moist soil. Keep it away from pets and children.",
Caladium praetermissum 'Hilo Beauty',Spotted Elephant Ear,"Caladium praetermissum 'Hilo Beauty' is a tropical, tuberous plant prized for large heart-shaped leaves. Bright pink to rosy-red centers contrast with vivid green edges and subtle veins. It prefers warm, shady, moist spots and makes a striking container or garden foliage plant.",
Goeppertia bella,Zebra Plant,"Goeppertia bella is a compact tropical houseplant with soft, glossy green leaves patterned by pale stripes and rich purple undersides. It grows in low clumps, prefers bright indirect light, warm temperatures and high humidity, and adds bold color indoors.",
Calathea crotalifera 'Yellow Rattleshaker',Rattle Shaker,"Calathea crotalifera 'Yellow Rattleshaker' is a tropical houseplant with upright stems and bold, lance-shaped leaves banded in bright yellow and deep green. Its dramatic, striped foliage brightens indoor spaces; it prefers bright, filtered light, steady moisture, and high humidity.",
Goeppertia majestica 'Wilson's Princep',Calathea,"Goeppertia majestica 'Wilson's Princep' is a striking houseplant with large, glossy oval leaves patterned in bold light and dark green stripes and often purple undersides. It forms a compact clump and prefers bright, indirect light, steady moisture, and high humidity.",
Campyloneurum aglaolepis,Narrow Strap Fern,"Campyloneurum aglaolepis is a tropical fern often growing on tree trunks. It bears glossy, strap-like, undivided leathery fronds from creeping rhizomes, favors humid shaded rainforests, and is appreciated for its simple, elegant foliage.",
Cananga odorata var. fruticosa,Dwarf Ylang Ylang,"Cananga odorata var. fruticosa, dwarf ylang-ylang, is a compact tropical shrub with glossy leaves and drooping fragrant yellow-green flowers. Valued for its sweet perfume and essential oil, it thrives in warm, humid gardens and bright, sheltered locations.",
Ceratozamia mexicana,Mexican Horncone,"Ceratozamia mexicana is a slow-growing cycad from Mexico with a short, often underground stem and feather-like pinnate leaves. Evergreen and long-lived, it makes male and female cones and prefers shaded, humid forest habitats; it is threatened by habitat loss.",
Ceratozamia robusta,Cycad,"Ceratozamia robusta is a small, hardy cycad with a stout trunk and glossy, feather-like fronds. Slow-growing and long-lived, it produces cone-like reproductive structures. Native to tropical montane forests, it prefers shaded, well-drained sites.",
Chamaedorea metallica,Metallic Palm,"Chamaedorea metallica is a clumping, slender palm with elegant, glossy dark green leaves that often show a metallic sheen. It grows slowly to a few feet tall, prefers bright indirect light and humidity, and makes an attractive, low-maintenance houseplant.",
Chondrodendron tomentosum,Curare,"Chondrodendron tomentosum is a woody climbing vine from tropical South America. It has large, fuzzy (tomentose) heart-shaped leaves, small greenish flowers and round berries. Its tissues contain powerful alkaloids historically used in curare arrow poison and muscle relaxants.",
Citrus medica ,Buddha's Hand Citron,"Citrus medica, called the citron, is a small evergreen tree with glossy leaves and fragrant white flowers. It produces large, thick‑rinded fruits with little juicy pulp. The aromatic peel is prized for candying, perfumes, and flavoring in cooking.",
Citrus sinensis 'Valencia',Sweet Orange,"Citrus sinensis 'Valencia' is a sweet orange tree with juicy, thin-skinned fruit and fragrant white blossoms. It ripens late and makes excellent juice. Evergreen and compact, it prefers full sun, warm climates, well-drained soil, and regular watering for best fruit.",
Clerodendrum quadriloculare,Starburst Bush,"Clerodendrum quadriloculare, the starburst or shooting-star clerodendrum, is an evergreen shrub or small tree with large glossy leaves and dramatic clusters of fragrant white star-shaped flowers with purple tubes. It blooms heavily, attracting butterflies and hummingbirds.",
Cola acuminata,Cola Tree,"Cola acuminata is an evergreen West African tree, commonly called the kola nut tree. It bears glossy leaves, fragrant flowers and green pods with reddish seeds (kola nuts). These seeds are bitter and caffeinated, used traditionally for stimulant drinks and cultural ceremonies.",
Colocasia 'Cophama',Pharaoh's Mask Elephant Ear,"Colocasia 'Cophama' is a compact elephant-ear cultivar with bold, glossy, heart-shaped leaves in deep bronze to purple tones. It brings a tropical look to borders or containers. Prefers moist, rich soil and sheltered, partly shaded sites; frost tender.",
Colocasia fallax,Dwarf Taro,"Colocasia fallax is a compact, clump-forming elephant-ear plant with small, glossy, heart-shaped green leaves. It thrives in moist, rich soil and bright shade to part sun. Ideal for containers or ponds, it adds tropical texture to gardens and patios.",
Costus guanaiensis,Spiral Ginger,"Costus guanaiensis is a tropical perennial with spiraling stems and glossy, broad leaves forming a lush understory clump. It produces striking cone-shaped inflorescences of colorful bracts and small tubular flowers that attract hummingbirds and other pollinators.",
Costus afer,Spiral Flag Ginger,"Costus afer is a tropical perennial with upright, spiral stems and large glossy leaves. It bears showy cone-like flower spikes of yellow, orange or red bracts. Native to West and Central African forests, it prefers shady, moist spots and is used medicinally.",
Cubanola domingensis,Tree Lily,"Cubanola domingensis is an evergreen shrub native to Hispaniola (Dominican Republic and Haiti). It has glossy green leaves and large, fragrant, tubular white-to-yellow bell-shaped flowers that hang from the branches, prized as an ornamental for their scent.",
Curcuma alismatifolia 'Giant Pink',Siam Tulip,"Curcuma alismatifolia 'Giant Pink' is a tropical flowering ginger with tall stems of large, bright pink bracts that look like tulips. Clumping plants have glossy green leaves and grow from rhizomes, blooming in summer to brighten borders or containers.",
Curcuma alismatifolia 'Raspberry',Raspberry Siam Tulip,"Curcuma alismatifolia 'Raspberry' is a tropical ginger with striking raspberry-pink bracts that resemble tulips. It grows from rhizomes with glossy green leaves, reaches about 30–60 cm, and prefers warm, humid, partially shaded spots with moist, well-draining soil.",
Curcuma longa,Turmeric,"Curcuma longa, known as turmeric, is a tropical perennial herb with bright orange-yellow rhizomes used as a spice, natural dye, and traditional remedy. It has a warm, earthy flavor and is valued for curcumin, a compound with anti-inflammatory and antioxidant properties.",
Derris elliptica,Tuba Root,"Derris elliptica is a woody climbing vine from Southeast Asia with pinnate leaves, clusters of small pea-like flowers and flat seed pods. Known as tuba or derris, its roots contain rotenone, historically used as a natural insecticide and fish poison.",
Disocactus anguliger,Fishbone Cactus,"Disocactus anguliger, the fishbone or zigzag cactus, is a trailing epiphytic succulent with flat, scalloped stems that look like fish bones. It produces showy white to yellow tubular flowers and grows well indoors with bright, indirect light and moderate watering.",
Disocactus x hybridus 'Ackermannii',Orchid Cactus,"Disocactus x hybridus 'Ackermannii' is an epiphytic orchid cactus with flat, leaf-like stems and bright, showy red to pink hanging flowers. It prefers bright, indirect light, a well-draining mix, moderate watering, and warm, humid conditions—great in hanging baskets.",
Dracaena angolensis,African Spear,"Dracaena angolensis, the cylindrical snake plant, has thick, upright tubular leaves that grow in clumps. This hardy, drought-tolerant succulent is easy to care for, making it perfect for indoor spaces with low light and infrequent watering.",
Epipremnum pinnatum 'Marble Planet',Marble Planet Pothos,"Epipremnum pinnatum 'Marble Planet' is a tropical climbing vine with striking marble-like green and cream variegated leaves. Easy to grow indoors, it prefers bright indirect light, moderate watering, and humidity. Grows as a trailing plant or climbs well with support.",
Urceolina caucana,Amazon Lily,"Urceolina caucana is a bulbous perennial from Colombia with glossy, dark green, strap-shaped leaves and showy clusters of fragrant white flowers with yellow-green centers. It blooms on leafless stalks, prefers shady, humid spots, and is grown as an ornamental houseplant.",
Eucomis comosa,Pineapple Lily,"Eucomis comosa, the pineapple lily, is a bulbous perennial with a rosette of straplike leaves and a tall spike of star-shaped flowers topped by a pineapple-like tuft. Often purple or greenish, it blooms in late summer and suits borders or containers.",
Ficus montana,Oak-Leaf Ficus,"Ficus montana is an attractive indoor fig with large, leathery, oak-shaped dark green leaves. It grows as a compact tree or climber, prefers bright, indirect light and moderate watering, and makes an easy, low-maintenance houseplant.",
Ficus pumila 'Variegata',Creeping Fig,"Ficus pumila 'Variegata' is a compact, evergreen creeping fig with tiny heart-shaped leaves edged or splashed in creamy white and green. It clings to walls or trellises, makes a dense groundcover, and prefers bright, indirect light with steady moisture.",
Ficus villosa,Shaggy Leaved Fig,"Ficus villosa is a small tropical climbing fig with soft, hairy leaves and tiny round figs. It grows on trees or rocks in humid forests, forming a dense, decorative cover. Prefers warm, shaded, moist conditions and is used as an ornamental plant.",
Gardenia jasminoides 'Variegata',Variegated Gardenia,"Gardenia jasminoides 'Variegata' is a compact evergreen shrub with glossy green leaves edged in cream. It produces highly fragrant white double flowers in summer and prefers acidic, well-drained soil and bright, sheltered light—perfect as a scented focal plant.",
Gonatopus boivinii,Giraffe's Knees ,"Gonatopus boivinii is a small tropical perennial from Africa with glossy, heart-shaped leaves and unusual small flowers. It prefers warm, humid shade, well-draining soil, and moderate watering. Often grown as an easy, attractive houseplant or groundcover.",
Goudaea ospinae var. gruberi,Bromeliad,"Goudaea ospinae var. gruberi is a small epiphytic bromeliad forming a compact rosette of narrow leaves and producing a colorful flower spike. Native to Andean cloud forests, it prefers bright, indirect light, high humidity, good air circulation, and well-draining substrate.",
Guzmania ,Orange Guzmania,"Guzmania is a tropical bromeliad with shiny green leaves arranged in a rosette and bright, long-lasting colorful bracts (red, orange, pink, or yellow). Often grown indoors, it prefers bright, indirect light, warm temperatures and high humidity, with occasional watering in its central cup.",
Guzmania lingulata,Scarlet Star,"Guzmania lingulata is a tropical bromeliad with a rosette of glossy green leaves and a bright, long-lasting central flower bract usually red, orange, or yellow. It prefers warm, humid, bright indirect light and produces pups after flowering.",
Hedychium 'Mutant',Mutant Ginger,"Hedychium 'Mutant' is a striking ginger-lily cultivar with fragrant, creamy-white flower spikes and lush, tropical leaves. It forms clumping stems and blooms in late summer. Prefers moist, well-drained soil and bright light; ideal for garden borders, ponds, or containers.",
Hibiscus clayi,Koki'o 'ula,"Hibiscus clayi is a small woody hibiscus native to Hawaii. It forms compact shrubs with glossy green leaves and produces single, trumpet-shaped flowers typical of hibiscus. Popular in gardens, it attracts pollinators like bees and hummingbirds.",
Hippeastrum 'Dancing Queen',Amaryllis,"Hippeastrum 'Dancing Queen' is a bulbous amaryllis producing large, showy trumpet-shaped blooms atop tall, leafless stalks. Easy to grow indoors, it blooms in winter or spring, offering long-lasting colorful flowers and bold strap-like leaves for sunny windows.",
Hohenbergia catingae var. elongata,Bromeliad,"Hohenbergia catingae var. elongata is a rosette-forming bromeliad from Brazil’s Caatinga. It has long, narrow, often spiny-edged leaves and a tall central flower spike with colorful bracts. Terrestrial and drought-tolerant, it grows on rocky soils in sunny sites.",
Hohenbergia lemei,Bromeliad,"Hohenbergia lemei is a rosette-forming bromeliad with stiff, arching leaves often edged with small teeth. It produces a tall central flower spike with showy bracts and tubular blooms. Native to tropical forests, it’s grown for its dramatic, long-lasting flowers.",
Hohenbergia rosea,Giant Bromeliad,"Hohenbergia rosea is a rosette-forming bromeliad with stiff, arching leaves and a striking pink to rose-colored flower spike. Native to Brazil's humid forests, it produces long-lasting blooms and is grown as an ornamental for its bold tropical appearance.",
Homalocladium platycladum ,Centipede Plant,"Homalocladium platycladum, the tapeworm or ribbon plant, is a succulent with flattened, strap-like green stems that look like ribbons. It has tiny scale leaves and small white flowers. Easy-care and drought-tolerant, often grown in pots or hanging baskets.",
Hoya carnosa 'Variegata',Variegated Wax Plant,"Hoya carnosa 'Variegata' is a trailing, easy-care houseplant with glossy green leaves edged in cream or white. It forms clusters of fragrant, star-shaped pink-and-white wax flowers. Prefers bright, indirect light, well-draining soil and occasional watering.",
Pombalia communis ,Hybanthus,"Pombalia communis is a low-growing perennial herb with small, brightly colored flowers and simple green leaves. It blooms in warm months, preferring open sunny or lightly shaded sites with well-drained soil, and often attracts bees and butterflies.",
Pombalia prunifolia,Hybanthus,"Pombalia prunifolia is a small woody shrub with glossy, plum-like leaves and delicate five-petaled pink to purple flowers. Native to the tropical Americas, it forms compact clumps, blooms readily, and attracts pollinators, making it nice for borders and gardens.",
Selenicereus undatus,Dragon Fruit,"Selenicereus undatus, commonly called dragon fruit cactus, is a climbing night-blooming cactus with triangular green stems and large white fragrant flowers. It produces bright pink or yellow sweet fruit with white flesh speckled with tiny seeds. Needs bright light, well-drained soil, and moderate water.",
Hymenocallis caribaea,Caribbean Spider Lily,"Hymenocallis caribaea, the Caribbean spider lily, is a bulbous coastal plant with glossy strap-like leaves and large, white, spidery, fragrant flowers. Salt-tolerant and low-maintenance, it blooms in warm months and is popular in seaside gardens and containers.",
Kaempferia pulchra 'Pink Lace',Peacock Ginger,"Kaempferia pulchra 'Pink Lace' is a low-growing, clumping ginger with attractive patterned foliage and delicate pink flowers. It prefers shady, moist spots, makes a striking groundcover or container plant, and is easy-care—perfect for shade gardens or tropical borders.",
Medinilla magnifica,Pink Lantern ,"Medinilla magnifica is a dramatic tropical shrub with large glossy leaves and long hanging clusters of pink bracts and tiny flowers. Often grown as a showy houseplant or in greenhouses, it prefers warm, humid conditions and bright, indirect light.",
Microsorum musifolium 'Crocodyllus',Crocodile Fern,"Microsorum musifolium 'Crocodyllus', called the crocodile fern, has striking glossy, leathery fronds with raised veins that look like reptile skin. It prefers bright, indirect light, consistent moisture and humidity, and makes a dramatic hanging or potted houseplant.",
Microsorum punctatum 'Serratum',Elkhorn Fern,"Microsorum punctatum 'Serratum' is a hardy, easy-care fern with narrow, toothed green fronds that form a tidy clump. It prefers bright, indirect light, consistent moisture and humidity. Great for hanging baskets, terrariums, or shaded garden spots.",
Monstera deliciosa,Split-Leaf Philodendron,"Monstera deliciosa is a popular tropical houseplant with large, glossy green leaves that develop natural splits and holes as they grow. It climbs or trails, prefers bright indirect light, moderate watering, and adds a lush, dramatic look to indoor spaces.",
Monstera deliciosa var. borsigiana 'Albo',Variegated Split-Leaf Philodendron,"Monstera deliciosa var. borsigiana 'Albo' is a popular variegated tropical houseplant with glossy, split leaves mottled in white and green. It climbs or trails, prefers bright indirect light, regular watering, and moderate humidity, making a striking indoor focal plant.",
Monstera obliqua,Swiss Cheese Vine,"Monstera obliqua is a rare tropical vine prized for its extremely thin, lace-like leaves riddled with large holes. It clings to supports, prefers warm humidity and bright, indirect light, and is delicate and slower-growing than many other Monsteras.",
